Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
31-07-2020,121.95,123.05,118.25,118.95,4332,4.8,3
30-07-2020,123.7,123.7,120.25,120.85,3706,3.45,2.85
29-07-2020,122.05,125.1,122,122.15,2324,3.1,-0.1
28-07-2020,125.45,125.6,121,122.9,3800,4.6,2.55
27-07-2020,128.55,128.55,123,123.8,3414,5.55,4.75
24-07-2020,125,132.7,125,128.1,21188,7.7,-3.1
23-07-2020,127.5,130,124,129.05,29714,6,-1.55
22-07-2020,129,132,126.2,128.8,59488,5.8,0.2
21-07-2020,129,129,121.1,122.9,7128,7.9,6.1
20-07-2020,127.6,128.9,124.1,124.8,9409,4.8,2.8
17-07-2020,123.2,130,123.15,128.3,15698,6.85,-5.1
16-07-2020,123.85,125.6,121,123.55,4429,4.6,0.3
15-07-2020,119.05,131.5,119.05,123.9,28534,12.45,-4.85
14-07-2020,112,126.8,108.05,122.7,2988,18.75,-10.7
13-07-2020,126.25,127.15,122.55,123.55,3533,4.6,2.7
10-07-2020,127.9,129.5,124.65,125.05,4816,4.85,2.85
09-07-2020,130.4,130.4,127.9,128.15,3266,2.5,2.25
08-07-2020,131,133,126.3,127.85,3795,6.7,3.15
07-07-2020,132.45,134.2,128.15,129.45,8939,6.05,3
06-07-2020,134.05,135,132.25,132.6,7975,2.75,1.45
03-07-2020,136.8,137,132.75,133.15,6865,4.25,3.65
02-07-2020,134.55,141.45,134.25,135.9,32848,7.2,-1.35
01-07-2020,133.95,136.85,133.5,134.4,4677,3.35,-0.45
30-06-2020,137.95,139.4,132.4,133.95,6012,7,4
29-06-2020,140.4,140.7,132.8,136.2,17250,7.9,4.2
26-06-2020,133.5,142.1,132.15,138.3,34639,9.95,-4.8
25-06-2020,131,137,129,130.9,16741,8,0.1
24-06-2020,137.3,142.5,131.85,133.1,53123,10.65,4.2
23-06-2020,134.8,139.45,128.35,137,29290,11.1,-2.2
22-06-2020,130,134.6,128.9,130.7,21543,5.7,-0.7
19-06-2020,124,132.55,123.75,131.75,25992,8.8,-7.75
18-06-2020,119.6,124,119.35,122.6,10384,4.65,-3
17-06-2020,119.15,121,116.95,117.95,8897,4.05,1.2
16-06-2020,120.85,125,115.35,116.3,35350,9.65,4.55
